Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Recovered,Active,Serious_Critical,Tot_Cases_1Mpop,Deaths/1 M pop,Tests,Tests/1Mpop
USA,"455,081","20,154","16,094","1,306","24,562","414,425","9,733","1,375",49,"2,309,531","6,977"
Spain,"152,446","4,226","15,238",446,"52,165","85,043","7,371","3,261",326,"355,000","7,593"
Italy,"143,626","4,204","18,279",610,"28,470","96,877","3,605","2,375",302,"853,369","14,114"
France,"117,749","4,799","12,210","1,341","23,206","82,333","7,066","1,804",187,"224,254","3,436"
Germany,"115,523","2,227","2,451",102,"46,300","66,772","4,895","1,379",29,"1,317,887","15,730"
China,"81,865",63,"3,335",2,"77,370","1,160",176,57,2,,
Iran,"66,220","1,634","4,110",117,"32,309","29,801","3,918",788,49,"231,393","2,755"
UK,"60,733",,"7,097",,135,"53,501","1,559",895,105,"282,074","4,155"
Turkey,"42,282","4,056",908,96,"2,142","39,232","1,552",501,11,"276,338","3,277"
Belgium,"24,983","1,580","2,523",283,"5,164","17,296","1,285","2,156",218,"84,248","7,269"
Switzerland,"24,046",766,948,53,"10,600","12,498",386,"2,778",110,"178,500","20,625"
Netherlands,"21,762","1,213","2,396",148,250,"19,116","1,424","1,270",140,"101,534","5,926"
Canada,"20,690","1,252",503,76,"5,196","14,991",518,548,13,"370,315","9,812"
Brazil,"16,474",286,839,19,173,"15,462",296,78,4,"63,000",296
Portugal,"13,956",815,409,29,205,"13,342",241,"1,369",40,"140,368","13,766"
Austria,"13,237",295,295,22,"5,240","7,702",266,"1,470",33,"126,287","14,022"
S. Korea,"10,423",39,204,4,"6,973","3,246",55,203,4,"477,304","9,310"
Russia,"10,131","1,459",76,13,698,"9,357",8,69,0.5,"1,004,719","6,885"
Israel,"9,755",351,79,6,864,"8,812",165,"1,127",9,"117,339","13,557"
Sweden,"9,141",722,793,106,205,"8,143",719,905,79,"54,700","5,416"
India,"6,653",737,199,21,602,"5,852",,5,0.1,"167,235",121
Ireland,"6,574",500,263,28,25,"6,286",165,"1,331",53,"42,484","8,604"
Norway,"6,160",118,108,7,32,"6,020",78,"1,136",20,"121,034","22,326"
Australia,"6,104",52,51,1,"2,987","3,066",81,239,2,"330,134","12,946"
Chile,"5,972",426,57,9,"1,274","4,641",360,312,3,"68,353","3,576"
Denmark,"5,635",233,237,19,"1,736","3,662",120,973,41,"64,002","11,050"
Poland,"5,575",370,174,15,284,"5,117",160,147,5,"107,597","2,843"
Czechia,"5,467",155,112,13,301,"5,054",96,511,10,"106,845","9,977"
Romania,"5,202",441,246,26,647,"4,309",178,270,13,"51,802","2,693"
Ecuador,"4,965",515,272,30,339,"4,354",139,281,15,"19,102","1,083"
Japan,"4,667",,94,,632,"3,941",99,37,0.7,"61,498",486
Pakistan,"4,489",226,63,2,572,"3,854",31,20,0.3,"44,896",203
Peru,"4,342",,121,,"1,333","2,888",113,132,4,"39,599","1,201"
Malaysia,"4,228",109,67,2,"1,608","2,553",72,131,2,"63,367","1,958"
Philippines,"4,076",206,203,21,124,"3,749",1,37,2,"24,500",224
Indonesia,"3,293",337,280,40,252,"2,761",,12,1,"14,354",52
Saudi Arabia,"3,287",355,44,3,666,"2,577",41,94,1,,
Mexico,"3,181",396,174,33,633,"2,374",89,25,1,"25,410",197
Luxembourg,"3,115",81,52,6,374,"2,689",30,"4,976",83,"27,521","43,965"
Serbia,"2,867",201,66,1,118,"2,683",127,328,8,"12,347","1,413"
UAE,"2,659",,12,,239,"2,408",1,269,1,"593,095","59,967"
Finland,"2,605",118,42,2,300,"2,263",82,470,8,"39,000","7,039"
Panama,"2,528",,63,,16,"2,449",101,586,15,"11,776","2,729"
Thailand,"2,423",54,32,2,940,"1,451",61,35,0.5,"71,860","1,030"
Qatar,"2,376",166,6,,206,"2,164",37,825,2,"43,144","14,975"
Dominican Republic,"2,349",238,118,10,80,"2,151",147,217,11,"4,542",419
Colombia,"2,054",,55,,123,"1,876",85,40,1,"33,575",660
Greece,"1,955",71,87,4,269,"1,599",79,188,8,"33,634","3,227"
